cod_articulo|cod_uni_med|cod_marca|des_articulo|des_uni_med|num_precio|des_tipo|des_modelo|fla_estado|cod_articulo_aux|fla_reg_lote|cod_catalogo
00001|001|000|AZUCAR RUBIA||.61160|A||A|011010040|N|01
00002|001|000|MAIZ BLANCO EN GRANO||.78410|A||A|011010080|N|01
00003|001|000|SOYA EN GRANO||.72120|A||A|011010100|N|01
00004|001|000|HARINA DE TRIGO EXTRA||.45660|A||A|011010110|N|01
00005|001|000|HARINA DE TRIGO EXTRA S||.50020|A||A|011010150|N|01
00006|001|000|HARINA DE PESCADO||.27660|A||A|011010160|N|01
00007|002|000|LECHE LIQUIDA EVAPORADA, LATA X 410 GRS||.58810|A||A|011020040|S|01
00008|001|000|ESENCIA LIQUIDA DE CAKE|KG|7.28280|A||A|011030020|S|01
00009|001|000|ESENCIA LIQUIDA DE CHANCAY||17.71200|A||A|011030030|S|01
00010|001|000|LEVADURA FRESCA GRANULADA||1.75650|A||A|011030050|N|01
00011|001|000|MEJORADOR PARA MASA SALADA||1.86620|A||A|011030070|N|01
00012|001|000|PROPIONATO DE CALCIO (ANTIMOHO)||2.93270|A||A|011030080|N|01
00013|001|000|ESENCIA LIQUIDA DE VAINILLA||7.50000|A||A|011030090|N|01
00014|002|000|CARAMELOS, BOLSA DE 100 UNIDADES DE DIFERENTES FORMAS Y COLORES||.95660|A||A|011040010|N|01
00015|001|000|SAL YODADA DE MESA||.18820|A||A|011050020|N|01
00016|001|000|PECTINA||7.46270|A||A|011050030|N|01
00017|004|000|ACEITE VEGETAL||1.37970|A||A|011060010|N|01
00018|001|000|MANTECA VEGETAL||1.02500|A||A|011060020|N|01
00019|001|000|CERA ESTAMPADA||8.95520|A||A|011060030|N|01
00020|002|000|AGUA PURIFICADA DE MESA X 20 LITROS||4.08000|A||A|011070010|N|01
00021|002|000|ENRIQUECIDO LACTEO MEZCLA FORTIFICADA DE CEREALES Y LEGUMINOZAS  BOLSA  1 KG|UND|1.35250|A||A|011070040|N|01
